developerResponse,date,review,score,userName
"{'reviewId': 'f908c261-8bf3-4fc7-b59e-ba30c20b60c4', 'userName': 'alex becker', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjWle3-uO2X51AUrwAHIST_TwbCBWtTSu20ZpHZV8KtprnalP2iN', 'content': 'I like this game but I have a question Where is your Montessori numbers game?', 'score': 3, 'thumbsUpCount': 1, 'reviewCreatedVersion': None, 'at': datetime.datetime(2020, 11, 6, 20, 43, 30), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2020-11-06 20:43:30,I like this game but I have a question Where is your Montessori numbers game?,3,alex becker
"{'reviewId': '5d33b6f7-392c-4233-a919-df1feb15fa31', 'userName': 'Aaisha Makrani', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjVENSEs_YejUMUgAdZUuzbPhJ0DBXVoF6ePdawoOVKSsdqnN2I', 'content': 'Excellent for kids', 'score': 5, 'thumbsUpCount': 1, 'reviewCreatedVersion': None, 'at': datetime.datetime(2023, 2, 24, 11, 55, 17), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2023-02-24 11:55:17,Excellent for kids,5,Aaisha Makrani
"{'reviewId': 'b77f8b7e-33bc-403b-8513-a3c9650943a0', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Great gift for kids.', 'score': 5, 'thumbsUpCount': 4, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2019, 8, 2, 4, 42, 48), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2019-08-02 04:42:48,Great gift for kids.,5,A Google user
"{'reviewId': '7eea5207-9a6b-4cf1-affe-6b129f19f3b1', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Wow o i love this app thanks alot', 'score': 5, 'thumbsUpCount': 2, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2019, 10, 27, 23, 46, 45), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2019-10-27 23:46:45,Wow o i love this app thanks alot,5,A Google user
"{'reviewId': 'a5bf3240-657e-4006-b7ef-71dd835db9a5', 'userName': 'Whalen Blair', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocJpf9xWzInHqzTIJtYEfIHNz9AXsrafjla5cTalVHyDvwdamQ=mo', 'content': 'Good game for my grandson', 'score': 5, 'thumbsUpCount': 31, 'reviewCreatedVersion': '2.1.0', 'at': datetime.datetime(2023, 6, 1, 12, 4, 12), 'replyContent': None, 'repliedAt': None, 'appVersion': '2.1.0'}",2023-06-01 12:04:12,Good game for my grandson,5,Whalen Blair
"{'reviewId': 'b59e3e7b-0a03-46c9-a9c0-68c2cdaa5c18', 'userName': 'Zadnu Sputnik', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjXPcqkemHOXSh8NPhW5xvU6FXlLG56AA6ypP2lTbfNuJn6o0pgD', 'content': 'Very good apps', 'score': 5, 'thumbsUpCount': 0, 'reviewCreatedVersion': None, 'at': datetime.datetime(2021, 6, 13, 14, 10, 31), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2021-06-13 14:10:31,Very good apps,5,Zadnu Sputnik
"{'reviewId': '9b3d7e12-2726-4c4d-8f67-69247984bb02', 'userName': 'Christopher Hernandez', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjVoGbju2QmH3AFpNvcKx9xpN-rEWA8LPuRu1fFheEug0U3N40mI', 'content': ""It's for lite :D"", 'score': 5, 'thumbsUpCount': 0, 'reviewCreatedVersion': None, 'at': datetime.datetime(2022, 2, 20, 13, 19, 51), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2022-02-20 13:19:51,It's for lite :D,5,Christopher Hernandez
"{'reviewId': '3fc659bc-5e80-4c62-9064-535ecdf4d61c', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'worst aap never download', 'score': 1, 'thumbsUpCount': 4, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2019, 4, 18, 0, 25, 22), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2019-04-18 00:25:22,worst aap never download,1,A Google user
"{'reviewId': '512061eb-673e-4f53-89e0-c747001c62ec', 'userName': 'Jennie Whiston', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjWV26J1kRt4xRB4SjF4ipTubQmKKAxXQbzKbpruGP-zSy5Vo9Ox', 'content': 'Montessori Words Lite', 'score': 5, 'thumbsUpCount': 5, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2021, 2, 28, 4, 37, 38), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2021-02-28 04:37:38,Montessori Words Lite,5,Jennie Whiston
"{'reviewId': 'a62b8eb3-4004-421d-bad3-87882a9b2d7b', 'userName': 'Keitley Freeborn', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocIfibXi-XdXt4j-6rebci_NwsCgJhYpI-jka5oOvkITjsi-IA=mo', 'content': 'Games Jigsaw Puzzles 🤠', 'score': 5, 'thumbsUpCount': 1, 'reviewCreatedVersion': None, 'at': datetime.datetime(2020, 7, 5, 5, 33, 35), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2020-07-05 05:33:35,Games Jigsaw Puzzles 🤠,5,Keitley Freeborn
"{'reviewId': '06329e01-18d1-4db1-9db3-f47f229a4b61', 'userName': 'Duane Mckie', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocL8aw7XtUgusO7oNq3qrsC849_mmi7nRG3Q5UMVdt9ojsI-oA=mo', 'content': 'Amazing', 'score': 5, 'thumbsUpCount': 0, 'reviewCreatedVersion': '2.2.2', 'at': datetime.datetime(2024, 2, 24, 11, 14, 16), 'replyContent': 'Thanks for your review! Don’t hesitate to shoot us a note at support@lescapadou.com if you have any questions.', 'repliedAt': datetime.datetime(2024, 2, 25, 3, 36, 34), 'appVersion': '2.2.2'}",2024-02-24 11:14:16,Amazing,5,Duane Mckie
"{'reviewId': 'bbcd687a-95dc-46c7-9079-2f63e8351597', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'i like how to pronounced the letter sound..this is a great help for my 3 yrs old son to read fast.. thanks👍👍', 'score': 5, 'thumbsUpCount': 49, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2016, 11, 4, 1, 19, 52), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2016-11-04 01:19:52,i like how to pronounced the letter sound..this is a great help for my 3 yrs old son to read fast.. thanks👍👍,5,A Google user
"{'reviewId': '1694fc48-53a1-498f-9aba-877b064ec9cf', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Great concept. Probably the pay version is great. Not keeping it.', 'score': 2, 'thumbsUpCount': 59, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2013, 12, 6, 12, 12, 18), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2013-12-06 12:12:18,Great concept. Probably the pay version is great. Not keeping it.,2,A Google user
"{'reviewId': 'a60dcdd5-e931-48b0-aba4-4a05b1ae7222', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Very nice app. A wonderful experience for me and my sons', 'score': 5, 'thumbsUpCount': 24, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2015, 11, 19, 10, 30, 43), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2015-11-19 10:30:43,Very nice app. A wonderful experience for me and my sons,5,A Google user
"{'reviewId': 'c84b1e1e-a683-4f3e-83f1-c19b932716ea', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Not overwhelming with animations and fluff. Clean and simple!', 'score': 5, 'thumbsUpCount': 61, 'reviewCreatedVersion': '1.4', 'at': datetime.datetime(2015, 10, 8, 17, 29, 8), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.4'}",2015-10-08 17:29:08,Not overwhelming with animations and fluff. Clean and simple!,5,A Google user
