,developerResponse,date,review,score,userName
10,"{'reviewId': '581b2541-9f80-46d5-9c5f-b97f4f822a9d', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'We homeschool and my son (just turned 6) is so dang brilliant! Sometimes, however, certain things do not hold his interest. Reading is one of those things. We’ve tried different curriculum, workbooks, other apps, flashcards, reading books, youtube videos... nothing held his attention (and other apps left him wandering around the page without actually working on the educational part of it). The Kindergarten Montessori is the only app that has held his attention. It’s also the only app that is MAKI', 'score': 5, 'thumbsUpCount': 10, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 8, 14, 8, 58, 32), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2019-08-14 08:58:32,"We homeschool and my son (just turned 6) is so dang brilliant! Sometimes, however, certain things do not hold his interest. Reading is one of those things. We’ve tried different curriculum, workbooks, other apps, flashcards, reading books, youtube videos... nothing held his attention (and other apps left him wandering around the page without actually working on the educational part of it). The Kindergarten Montessori is the only app that has held his attention. It’s also the only app that is MAKI",5,A Google user
11,"{'reviewId': '2d8735af-a954-4479-8025-f0cbe9a1fb40', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': ""This is my second review as I don't appear to be able to edit the first. I asked Google for free apps, this is NOT FREE. You must enter your information to get 7 days for free then an automatic subscription begins. This is stated by the developer but the app appears under the title free. it is disappointing that the initial search is not accurate, I have no idea if the app is worth the cost"", 'score': 3, 'thumbsUpCount': 111, 'reviewCreatedVersion': None, 'at': datetime.datetime(2020, 1, 7, 7, 12, 7), 'replyContent': ""Hello, our app is a subscription service with a ton of educational content, we offer 10 free games + a 7-day trial during which you don't get charged. For more information, please contact us on support@edokiacademy.com"", 'repliedAt': datetime.datetime(2020, 1, 7, 6, 5, 39), 'appVersion': None}",2020-01-07 07:12:07,"This is my second review as I don't appear to be able to edit the first. I asked Google for free apps, this is NOT FREE. You must enter your information to get 7 days for free then an automatic subscription begins. This is stated by the developer but the app appears under the title free. it is disappointing that the initial search is not accurate, I have no idea if the app is worth the cost",3,A Google user
12,"{'reviewId': 'd26ba7a9-4e62-40a8-9ebb-e2c781830316', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'This game is great for my son. My 3-year-old son. He loves this app. He learned many things while on this app. He learned to distinguish the colors, the shapes that various objects. Sound and pictures are so great, very lively. I find this a very good game to train my son thinking ability and thinking. He learned a lot of rhymes and everything. Thank so much for this app.', 'score': 5, 'thumbsUpCount': 15, 'reviewCreatedVersion': '2.4', 'at': datetime.datetime(2019, 5, 31, 6, 58, 6), 'replyContent': None, 'repliedAt': None, 'appVersion': '2.4'}",2019-05-31 06:58:06,"This game is great for my son. My 3-year-old son. He loves this app. He learned many things while on this app. He learned to distinguish the colors, the shapes that various objects. Sound and pictures are so great, very lively. I find this a very good game to train my son thinking ability and thinking. He learned a lot of rhymes and everything. Thank so much for this app.",5,A Google user
13,"{'reviewId': 'b22bf33e-d452-4521-86b9-b9e83a2fd3b8', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'We work with our three-year-old daily on various learning activities, and she’s doing well! However, I feel this app is a powerful learning tool that has helped round out her recognition of letters and various concepts. Playing preschool games is just so much fun and I am so happy she loves it. It keeps her focused in a way that our lessons sometimes don’t. I highly recommend it!', 'score': 5, 'thumbsUpCount': 15, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 8, 24, 1, 54, 53), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2019-08-24 01:54:53,"We work with our three-year-old daily on various learning activities, and she’s doing well! However, I feel this app is a powerful learning tool that has helped round out her recognition of letters and various concepts. Playing preschool games is just so much fun and I am so happy she loves it. It keeps her focused in a way that our lessons sometimes don’t. I highly recommend it!",5,A Google user
14,"{'reviewId': '995b3a03-1d16-49a3-ac11-36cefb8a6659', 'userName': 'Drummond Richardson', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjV_gNSs7kI_cdA48PNtIP4b06HLc39-WAC2DcWP_dv2hezDHvJRpw', 'content': 'Interesting unusual and varied activities to teach lots of concepts. My almost 4yr daughter has been enjoying it very much, and we can do activities together or by herself. Seems to me that the interface is cleverly made to be both intuitive and stretches the dexterity of a child. My impression is that it focuses on the learning of the child as opposed to looking nice. Simple effective design.', 'score': 5, 'thumbsUpCount': 130, 'reviewCreatedVersion': '3.1', 'at': datetime.datetime(2020, 5, 29, 7, 20, 25), 'replyContent': None, 'repliedAt': None, 'appVersion': '3.1'}",2020-05-29 07:20:25,"Interesting unusual and varied activities to teach lots of concepts. My almost 4yr daughter has been enjoying it very much, and we can do activities together or by herself. Seems to me that the interface is cleverly made to be both intuitive and stretches the dexterity of a child. My impression is that it focuses on the learning of the child as opposed to looking nice. Simple effective design.",5,Drummond Richardson
15,"{'reviewId': '78956f51-15d9-44f7-9acf-8241611b2b41', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'My son’s teacher recommended I download The Kindergarten Montessori to help him with his reading as he was having some trouble. We’ve been using it for months and he is really improving! He’s starting to become such a confident reader, I can’t recommend this program enough. Loves the game way of learning, preschool games are fun, really helpful.', 'score': 5, 'thumbsUpCount': 3, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 8, 19, 9, 51, 6), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2019-08-19 09:51:06,"My son’s teacher recommended I download The Kindergarten Montessori to help him with his reading as he was having some trouble. We’ve been using it for months and he is really improving! He’s starting to become such a confident reader, I can’t recommend this program enough. Loves the game way of learning, preschool games are fun, really helpful.",5,A Google user
16,"{'reviewId': '90932a83-3de3-4ac5-bb6d-1e47016e0311', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'We homeschool and my son (just turned 6) is so dang brilliant! Sometimes, however, certain things do not hold his interest. Reading is one of those things. We’ve tried different curriculum, workbooks, other apps, flashcards, reading books, youtube videos... nothing held his attention (and other apps left him wandering around the page without actually working on the educational part of it). The Kindergarten Montessori is the only app that has held his attention. It’s also the only app that is MAKI', 'score': 5, 'thumbsUpCount': 13, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 8, 20, 9, 59, 14), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2019-08-20 09:59:14,"We homeschool and my son (just turned 6) is so dang brilliant! Sometimes, however, certain things do not hold his interest. Reading is one of those things. We’ve tried different curriculum, workbooks, other apps, flashcards, reading books, youtube videos... nothing held his attention (and other apps left him wandering around the page without actually working on the educational part of it). The Kindergarten Montessori is the only app that has held his attention. It’s also the only app that is MAKI",5,A Google user
17,"{'reviewId': '17b92d21-4059-4831-b9fb-bb439186dd21', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'My child loved the app from the first time I gave it to them. I really appreciated how it was truly personalized to my child and the lessons are really engaging and thoughtful, the app is totally fun, there are fun-filled preschool games which helps them learn along the way. Most learning apps are full of tricks to win prizes to dress up your character, this one is built around the fun of learning.', 'score': 5, 'thumbsUpCount': 12, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 8, 16, 10, 11, 22), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2019-08-16 10:11:22,"My child loved the app from the first time I gave it to them. I really appreciated how it was truly personalized to my child and the lessons are really engaging and thoughtful, the app is totally fun, there are fun-filled preschool games which helps them learn along the way. Most learning apps are full of tricks to win prizes to dress up your character, this one is built around the fun of learning.",5,A Google user
18,"{'reviewId': '49be7b3f-86fa-4009-95f9-44a559f72b1b', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'I’m a lab elementary teacher and I was looking for some apps that would help get my children off on the right foot for reading! They did enjoy the app, however, my daughter became bored quickly with the sight words part of the game. They enjoyed the different songs, books, preschool games, etc.,', 'score': 5, 'thumbsUpCount': 2, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 8, 7, 5, 56, 34), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2019-08-07 05:56:34,"I’m a lab elementary teacher and I was looking for some apps that would help get my children off on the right foot for reading! They did enjoy the app, however, my daughter became bored quickly with the sight words part of the game. They enjoyed the different songs, books, preschool games, etc.,",5,A Google user
19,"{'reviewId': 'd0d9122e-a8b0-417f-b745-71794e10b9a8', 'userName': 'Daniel Garcia Rodriguez', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjUNg51A4RqtkQ5g_4QtJHdjWkrV99yaZJ1sLY4VuqP9ac8BGrhuuA', 'content': ""Slow loading, but great content, worth paying. I just wished there was a Windows 10 version, because running through bluestacks is not ideal, and don't really wanna buy another tablet just for it. Performance issues should also be mostly gone on regular PCs."", 'score': 4, 'thumbsUpCount': 109, 'reviewCreatedVersion': '3.1', 'at': datetime.datetime(2020, 4, 30, 4, 40, 49), 'replyContent': ""Bonjour et merci nous sommes heureux que vous appréciez notre contenu. Nous travaillons pour améliorer nos applications. N'hésitez pas à nous écrire sur support@edokiacademy.com pour nous donner plus de détails."", 'repliedAt': datetime.datetime(2020, 5, 1, 5, 17, 47), 'appVersion': '3.1'}",2020-04-30 04:40:49,"Slow loading, but great content, worth paying. I just wished there was a Windows 10 version, because running through bluestacks is not ideal, and don't really wanna buy another tablet just for it. Performance issues should also be mostly gone on regular PCs.",4,Daniel Garcia Rodriguez
20,"{'reviewId': '9c9b21a9-c126-4310-bde8-9446cdfdf5bf', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': ""This app is fantastic my son. Loves having options to play with different portions and skills. The ability to use it offline makes it even better, our trip on an airplane was made easier and every time my son turns on airplane mode it doesn't matter."", 'score': 5, 'thumbsUpCount': 4, 'reviewCreatedVersion': None, 'at': datetime.datetime(2020, 3, 23, 5, 44, 40), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2020-03-23 05:44:40,"This app is fantastic my son. Loves having options to play with different portions and skills. The ability to use it offline makes it even better, our trip on an airplane was made easier and every time my son turns on airplane mode it doesn't matter.",5,A Google user
21,"{'reviewId': '0879812d-5c2f-411e-83a4-0d49b8e09244', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'Terrible customer service and don\'t bother to download unless you\'re NEVER, EVER going to need to change phones. Paid for a year and got two months of use because I switched from iphone to android. Contacted Edoki several times and their solutions never worked (also no INTERACTIVE way to contact them). You have to do a deep dive in their help pages to get a contact, then once you email and they answer, that\'s it. If you want to communicate more, you have to start over. No phone number. Nada. Go with another learning app. The two months I did have this, it got kinda stale. Reply to reply: ""Instantly"" is a bit of a stretch, and you asked which account email address to restore. I sent my reply, and a day into all this still don\'t have resolution (an accessible paid in full account). Despite their BS about having gotten my messages, now 03/22 and still no access. Contesting via credit card. Lowering star rating.', 'score': 1, 'thumbsUpCount': 132, 'reviewCreatedVersion': '3.1', 'at': datetime.datetime(2020, 3, 22, 18, 20, 19), 'replyContent': ""Hello, we're so sorry that you are unhappy but we replied to all your messages and I gave you my phone number on Feb 20th.  We're more than happy to help and solve your situation, we want children to be able to use our app."", 'repliedAt': datetime.datetime(2020, 3, 21, 15, 17, 34), 'appVersion': '3.1'}",2020-03-22 18:20:19,"Terrible customer service and don't bother to download unless you're NEVER, EVER going to need to change phones. Paid for a year and got two months of use because I switched from iphone to android. Contacted Edoki several times and their solutions never worked (also no INTERACTIVE way to contact them). You have to do a deep dive in their help pages to get a contact, then once you email and they answer, that's it. If you want to communicate more, you have to start over. No phone number. Nada. Go with another learning app. The two months I did have this, it got kinda stale. Reply to reply: ""Instantly"" is a bit of a stretch, and you asked which account email address to restore. I sent my reply, and a day into all this still don't have resolution (an accessible paid in full account). Despite their BS about having gotten my messages, now 03/22 and still no access. Contesting via credit card. Lowering star rating.",1,A Google user
22,"{'reviewId': '076f6cfc-1090-4057-b689-5ea71dbb31ab', 'userName': 'Jane Rose', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjWoPUcwzQVoMoa7yHVkF4qft8ZPrP1d9AbTBrv-6tffFBaWpaEnvQ', 'content': ""Agree with another comment made down below.. Really dangerous to teach little ones to shake a whole pill bottle in to their mouth!! Thankfully I watch all the games my daughter plays. It's also really laggy when pressing (and it's not the tab we bought a really good one and it's the same on every thing we have the game on) when she touches the screen it's really 50/50 if it even registers she's pressed it or not. So unfortunate because this game has so much potential. Also graphics need work."", 'score': 1, 'thumbsUpCount': 44, 'reviewCreatedVersion': '4.0', 'at': datetime.datetime(2021, 10, 4, 0, 11, 42), 'replyContent': 'Hello we’re sorry to hear that the app lags, it really shouldn’t as we considerably reduced the size to improve performance. Did you contact our help service - support@edokiacademy.com?', 'repliedAt': datetime.datetime(2021, 10, 4, 5, 58, 37), 'appVersion': '4.0'}",2021-10-04 00:11:42,Agree with another comment made down below.. Really dangerous to teach little ones to shake a whole pill bottle in to their mouth!! Thankfully I watch all the games my daughter plays. It's also really laggy when pressing (and it's not the tab we bought a really good one and it's the same on every thing we have the game on) when she touches the screen it's really 50/50 if it even registers she's pressed it or not. So unfortunate because this game has so much potential. Also graphics need work.,1,Jane Rose
23,"{'reviewId': '819e622c-e783-4a67-be4f-2f634d57a6d6', 'userName': 'A Google user', 'userImage': 'https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g', 'content': 'I downloaded and subscribed to Montessori with the hopes of getting my child interested in learning and reading at an early age and I couldn’t be happier with the result! With Montessori, my son (age 4) has his interests and passions turned into personalized lessons and levels that he adores. He loves preschool games, which is so much fun and makes them have fun while learning.', 'score': 5, 'thumbsUpCount': 3, 'reviewCreatedVersion': None, 'at': datetime.datetime(2019, 8, 12, 7, 4, 15), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2019-08-12 07:04:15,"I downloaded and subscribed to Montessori with the hopes of getting my child interested in learning and reading at an early age and I couldn’t be happier with the result! With Montessori, my son (age 4) has his interests and passions turned into personalized lessons and levels that he adores. He loves preschool games, which is so much fun and makes them have fun while learning.",5,A Google user
